,AnoMes,Municipio,Estado,Regiao,QT_PagadorPF,QT_PagadorPJ,QT_RecebedorPF,QT_RecebedorPJ
837,202310,ALTAMIRA DO MARANHÃO,MARANHÃO,NORDESTE,86027,1034,51795,5012
838,202310,TAGUATINGA,TOCANTINS,NORTE,160125,7496,107829,23011
839,202310,CAMPINA DA LAGOA,PARANÁ,SUL,147552,12382,81840,36193
840,202310,ALTAMIRA DO PARANÁ,PARANÁ,SUL,34918,1505,19353,4007
841,202310,MÃE DO RIO,PARÁ,NORTE,516759,24268,374040,85045
842,202310,SÃO TOMÉ,PARANÁ,SUL,58039,5114,33429,12440
843,202310,DOM BASÍLIO,BAHIA,NORDESTE,109906,3620,57715,11164
844,202310,CASSILÂNDIA,MATO GROSSO DO SUL,CENTRO-OESTE,240242,20090,156553,57071
845,202310,CHÃ GRANDE,PERNAMBUCO,NORDESTE,185293,9078,148412,22250
846,202310,ELDORADO DO SUL,RIO GRANDE DO SUL,SUL,609317,50200,388393,455080
847,202310,CARMOLÂNDIA,TOCANTINS,NORTE,43306,1128,25620,3087
848,202310,BOQUIM,SERGIPE,NORDESTE,367142,9831,256295,28276
849,202310,MIRANORTE,TOCANTINS,NORTE,212680,17046,140143,41172
850,202310,RIO DOS BOIS,TOCANTINS,NORTE,28757,594,18842,2231
851,202310,MARIÓPOLIS,PARANÁ,SUL,53847,7305,27030,19711
852,202310,WAGNER,BAHIA,NORDESTE,106590,3172,77798,5330
853,202310,PRADO FERREIRA,PARANÁ,SUL,43792,3058,25523,4595
854,202310,ORIXIMINÁ,PARÁ,NORTE,1014227,27897,666160,97894
855,202310,CERRO BRANCO,RIO GRANDE DO SUL,SUL,19079,1318,10291,1863
856,202310,SÃO MATEUS DO SUL,PARANÁ,SUL,384706,40264,211759,89132
857,202310,ESPERANTINÓPOLIS,MARANHÃO,NORDESTE,223633,8027,158759,27033
858,202310,PRIMEIRA CRUZ,MARANHÃO,NORDESTE,129990,1018,82922,2989
859,202310,BERNARDO DO MEARIM,MARANHÃO,NORDESTE,51339,1121,36420,4237
860,202310,CAFELÂNDIA,PARANÁ,SUL,186054,24292,95343,65525
861,202310,OLIVEIRA DE FÁTIMA,TOCANTINS,NORTE,17565,471,10457,1872
862,202310,IGUATEMI,MATO GROSSO DO SUL,CENTRO-OESTE,149850,8959,108979,53197
863,202310,GRANITO,PERNAMBUCO,NORDESTE,68717,1104,46229,5808
864,202310,CUPIRA,PERNAMBUCO,NORDESTE,306684,14376,229294,40152
865,202310,PARNARAMA,MARANHÃO,NORDESTE,397580,5452,243064,18275
866,202310,ÁGUA PRETA,PERNAMBUCO,NORDESTE,310279,4277,217612,14142
867,202310,IGARACY,PARAÍBA,NORDESTE,57817,1206,41528,3730
868,202310,OROCÓ,PERNAMBUCO,NORDESTE,285250,2701,174836,18549
869,202310,PRESIDENTE DUTRA,BAHIA,NORDESTE,155591,2992,102520,10102
870,202310,BOM JARDIM,RIO DE JANEIRO,SUDESTE,217876,17312,170398,45594
871,202310,UNISTALDA,RIO GRANDE DO SUL,SUL,13825,710,7699,2122
872,202310,SANTA MARIA,RIO GRANDE DO SUL,SUL,3593529,340043,2443692,1002256
873,202310,CORTÊS,PERNAMBUCO,NORDESTE,143626,1760,101407,6379
874,202310,CIPÓ,BAHIA,NORDESTE,239407,6394,204159,19677
875,202310,BELA VISTA,MATO GROSSO DO SUL,CENTRO-OESTE,361718,21883,215605,66869
876,202310,RIACHUELO,SERGIPE,NORDESTE,143180,1897,94695,6552
877,202310,REDENTORA,RIO GRANDE DO SUL,SUL,49545,2612,26531,4277
878,202310,CALUMBI,PERNAMBUCO,NORDESTE,57250,611,40990,3166
879,202310,MORTUGABA,BAHIA,NORDESTE,87114,3448,55629,12477
880,202310,PASSIRA,PERNAMBUCO,NORDESTE,279777,4161,239803,15165
881,202310,MOJUÍ DOS CAMPOS,PARÁ,NORTE,49414,8679,33063,27154
882,202310,BONITO,MATO GROSSO DO SUL,CENTRO-OESTE,351360,48833,219587,139395
883,202310,CORONEL PILAR,RIO GRANDE DO SUL,SUL,3276,250,2288,446
884,202310,PONTAL DO PARANÁ,PARANÁ,SUL,381325,59051,258593,114898
885,202310,CAPELA DE SANTANA,RIO GRANDE DO SUL,SUL,119294,8950,71596,22455
886,202310,ESPERANTINA,TOCANTINS,NORTE,97587,2726,64777,9176
887,202310,VESPASIANO CORRÊA,RIO GRANDE DO SUL,SUL,6661,717,3064,1901
888,202310,JUAZEIRINHO,PARAÍBA,NORDESTE,278167,6659,187798,30344
889,202310,PALESTINA DO PARÁ,PARÁ,NORTE,96102,3447,62094,8573
890,202310,BREJO,MARANHÃO,NORDESTE,375715,7504,261224,30540
891,202310,SENADOR ALEXANDRE COSTA,MARANHÃO,NORDESTE,159994,2315,99813,11639
892,202310,MARABÁ,PARÁ,NORTE,5935489,376712,4215175,994083
893,202310,COLARES,PARÁ,NORTE,164269,2164,115935,8377
894,202310,AQUIDABÃ,SERGIPE,NORDESTE,190689,6050,139391,17484
895,202310,ARAL MOREIRA,MATO GROSSO DO SUL,CENTRO-OESTE,106903,4800,59868,15497
896,202310,URUÇUCA,BAHIA,NORDESTE,301740,14744,199139,36404
897,202310,ERVAL GRANDE,RIO GRANDE DO SUL,SUL,23790,2262,13435,5012
898,202310,NOVA ALVORADA,RIO GRANDE DO SUL,SUL,18335,1964,8477,5416
899,202310,LORETO,MARANHÃO,NORDESTE,164600,2766,94621,13974
900,202310,SANTO ANTÔNIO DE JESUS,BAHIA,NORDESTE,1894611,101036,1512922,270781
901,202310,OURÉM,PARÁ,NORTE,212264,4562,154681,16795
